date,mean,std,q05,q25,q50,q75,q95
2009-08-05,0.5592179281957467,0.14947283332354258,0.31,0.46,0.56,0.67,0.79
2009-08-13,0.24358181818181818,0.13167317541537055,0.09,0.15,0.21,0.3,0.49
2009-08-21,0.4348344370860928,0.14132747071028473,0.22,0.33,0.42,0.53,0.67
2009-08-29,0.4552115143929913,0.13876254131131158,0.14,0.39,0.5,0.55,0.63
2009-09-06,0.6326449852171936,0.11449857938377023,0.4480000000000002,0.54,0.64,0.73,0.8
2009-09-14,0.37590676229508196,0.13241219451980266,0.14,0.29,0.38,0.48,0.5700000000000001
2009-09-22,0.6892494882874688,0.06169452228813594,0.5700000000000001,0.65,0.6900000000000001,0.73,0.78
2009-09-30,0.6574664544007278,0.05762089426191986,0.54,0.63,0.67,0.7000000000000001,0.73
2009-10-08,0.6623379576984307,0.06566114797323871,0.53,0.63,0.67,0.7000000000000001,0.76
2009-10-16,0.6318853763929954,0.0747538911459501,0.52,0.59,0.63,0.68,0.75
2009-10-24,0.5994791903570617,0.07291005507147028,0.47000000000000003,0.56,0.6,0.64,0.7119999999999981
2009-11-01,0.5130316124630431,0.06581704023313897,0.4,0.46,0.52,0.55,0.6400000000000001
2009-11-09,0.5259040254719127,0.09618340108956219,0.37,0.46,0.53,0.59,0.7000000000000001
2009-11-17,0.40767796224698655,0.08413764348280503,0.27,0.35000000000000003,0.42,0.46,0.56
2009-11-25,0.3914464407550603,0.09593275333686778,0.25,0.33,0.39,0.45,0.5719999999999982
2009-12-03,0.35610416192858774,0.09187230002510453,0.23000000000000004,0.29,0.34,0.41000000000000003,0.54
2009-12-11,0.2876438480782352,0.06908444807392608,0.20999999999999996,0.23,0.27,0.33,0.42
2009-12-19,0.30859449624744145,0.08714994827002533,0.18,0.24,0.3,0.36,0.5
2009-12-27,0.2940391175801683,0.08599107864481655,0.17,0.23,0.28,0.33,0.49
2010-01-01,0.269873388042204,0.07669420044614417,0.17000000000000004,0.23,0.25,0.29,0.43
2010-01-09,0.26452989449003517,0.07537399123917336,0.16,0.23,0.25,0.29,0.43
2010-01-17,0.2387033997655334,0.06377997385263838,0.16,0.21,0.23,0.25,0.38
2010-01-25,0.23566940211019932,0.06380163032490746,0.15,0.2,0.23,0.25,0.39
2010-02-02,0.21754044548651819,0.055489507205269045,0.14,0.19,0.21,0.23,0.34
2010-02-10,0.24049706916764363,0.05023682766902452,0.16,0.22,0.24,0.25,0.35000000000000003
2010-02-18,0.2547010550996483,0.06604031566507185,0.16,0.22,0.25,0.27,0.41000000000000003
2010-02-26,0.23554279015240331,0.061262161155165355,0.14,0.2,0.23,0.26,0.36
2010-03-06,0.2131301289566237,0.0601114884054509,0.13,0.17,0.2,0.24,0.33
2010-03-14,0.2552778429073857,0.06510609207561666,0.15,0.21,0.24,0.31,0.3779999999999972
2010-03-22,0.25723798358733885,0.06616059796977633,0.13,0.21,0.26,0.3,0.36
2010-03-30,0.23879015240328252,0.05248112972185159,0.13,0.21,0.25,0.27,0.31
2010-04-07,0.27515357561547477,0.07146060229699935,0.15,0.22,0.28,0.33,0.38
2010-04-15,0.30449941383352874,0.07495548698370742,0.18,0.25,0.31,0.36,0.42
2010-04-23,0.3334536928487691,0.09174053209798794,0.17000000000000004,0.25,0.33,0.41000000000000003,0.47000000000000003
